disease, disease_url, summary
Cocaine,https://medlineplus.gov/cocaine.html,Cocaine is a white powder. It can be snorted up the nose or mixed with water and injected with a needle. Cocaine can also be made into small white rocks; called crack. Crack is smoked in a small glass pipe.
Valley Fever,https://medlineplus.gov/valleyfever.html,Valley Fever is a disease caused by a fungus (or mold) called Coccidioides. The fungi live in the soil of dry areas like the southwestern U.S. You get it from inhaling the spores of the fungus. The infection cannot spread from person to person.
Tailbone Disorders,https://medlineplus.gov/tailbonedisorders.html,The tailbone is the small bone at the bottom of your backbone; or spine. Tailbone disorders include tailbone injuries; pain; infections; cysts and tumors.  You rarely break your tailbone. Instead; most injuries cause bruises or pulled ligaments. A backward fall onto a hard surface; such as slipping on ice; is the most common cause of such injuries.   Symptoms of various tailbone disorders include pain in the tailbone area; pain upon sitting; pain or numbness in the arms or legs due to pressure on nerves in the tailbone area; and a mass or growth you can see or feel.
Cochlear Implants,https://medlineplus.gov/cochlearimplants.html,A cochlear implant is a small; complex electronic device that can help to provide a sense of sound. People who are profoundly deaf or severely hard-of-hearing can get help from them. The implant consists of two parts. One part sits on the outside of the body; behind the ear.  A second part is surgically placed under the skin.
Frostbite,https://medlineplus.gov/frostbite.html,Frostbite is an injury to the body that is caused by freezing. It most often affects the nose; ears; cheeks; chin; fingers; or toes. Frostbite can permanently damage the body; and severe cases can lead to amputation.
Hypothermia,https://medlineplus.gov/hypothermia.html,Cold weather can affect your body in different ways. You can get frostbite; which is an injury to the body that is caused by freezing. Your body can also lose heat faster than you can produce it. That can cause hypothermia; or abnormally low body temperature. It can make you sleepy; confused; and clumsy. Because it happens gradually and affects your thinking; you may not realize you need help. That makes it especially dangerous. A body temperature below 95 F is a medical emergency and can lead to death if not treated promptly.
Winter Weather Emergencies,https://medlineplus.gov/winterweatheremergencies.html,Severe winter weather can lead to health and safety challenges. You may have to cope with
Cold and Cough Medicines,https://medlineplus.gov/coldandcoughmedicines.html,Sneezing; sore throat; a stuffy nose; coughing -- everyone knows the symptoms of the common cold. It is probably the most common illness. Every year; adults get about 2-3 colds; and children get even more.
Cold Sores,https://medlineplus.gov/coldsores.html,Cold sores are caused by a contagious virus called herpes simplex virus (HSV). There are two types of HSV. Type 1 usually causes oral herpes; or cold sores. Type 1 herpes virus infects more than half of the U.S. population by the time they reach their 20s. Type 2 usually affects the genital area.
Common Cold,https://medlineplus.gov/commoncold.html,Sneezing; sore throat; a stuffy nose; coughing - everyone knows the symptoms of the common cold. It is probably the most common illness. In the course of a year; people in the United States suffer 1 billion colds.
Common Infant and Newborn Problems,https://medlineplus.gov/commoninfantandnewbornproblems.html,It is hard when your baby is sick.  Common health problems in babies include colds; coughs; fevers; and vomiting.  Babies also commonly have skin problems; like diaper rash or cradle cap.
Ulcerative Colitis,https://medlineplus.gov/ulcerativecolitis.html,Ulcerative colitis (UC) is a disease that causes inflammation and sores; called ulcers; in the lining of the rectum and colon. It is one of a group of diseases called inflammatory bowel disease.
Collapsed Lung,https://medlineplus.gov/collapsedlung.html,A collapsed lung happens when air enters the pleural space; the area between the lung and the chest wall. If it is a total collapse; it is called pneumothorax. If only part of the lung is affected; it is called atelectasis.
Shoulder Injuries and Disorders,https://medlineplus.gov/shoulderinjuriesanddisorders.html,Your shoulder joint is composed of three bones: the clavicle (collarbone); the scapula (shoulder blade); and the humerus (upper arm bone). Your shoulders are the most movable joints in your body. They can also be unstable because the ball of the upper arm is larger than the shoulder socket that holds it. To remain in a stable or normal position; the shoulder must be anchored by muscles; tendons; and ligaments.
College Health,https://medlineplus.gov/collegehealth.html,College life involves excitement; along with new challenges; risks; and responsibilities. You are meeting new people; learning new things; and making your own decisions. It can sometimes be stressful.  You have to deal with pressures related to food; drink; appearance; drugs; and sexual activity.
Colorectal Cancer,https://medlineplus.gov/colorectalcancer.html,The colon and rectum are part of the large intestine. Colorectal cancer occurs when tumors form in the lining of the large intestine. It is common in both men and women. The risk of developing colorectal cancer rises after age 50. You're also more likely to get it if you have colorectal polyps; a family history of colorectal cancer; ulcerative colitis or Crohn's disease; eat a diet high in fat; or smoke.
Colonic Diseases,https://medlineplus.gov/colonicdiseases.html,Your colon; also known as the large intestine; is part of your digestive system. It's a long; hollow tube at the end of your digestive tract where your body makes and stores stool. Many disorders affect the colon's ability to work properly. Some of these include
Colonic Polyps,https://medlineplus.gov/colonicpolyps.html,A polyp is an extra piece of tissue that grows inside your body. Colonic polyps grow in the large intestine; or colon.  Most polyps are not dangerous. However; some polyps may turn into cancer or already be cancer. To be safe; doctors remove polyps and test them.  Polyps can be removed when a doctor examines the inside of the large intestine during a colonoscopy.
Colonoscopy,https://medlineplus.gov/colonoscopy.html,Colonoscopy and sigmoidoscopy are procedures that let your doctor look inside your large intestine. They use instruments called scopes. Scopes have a tiny camera attached to a long; thin tube. The procedures let your doctor see things such as inflamed tissue; abnormal growths; and ulcers.
Color Blindness,https://medlineplus.gov/colorblindness.html,Most of us see our world in color. We enjoy looking at a lush green lawn or a red rose in full bloom. If you have a color vision defect; you may see these colors differently than most people.
Tick Bites,https://medlineplus.gov/tickbites.html,If you spend time outdoors or have pets that go outdoors; you need to beware of ticks. Ticks are small bloodsucking parasites. Many species transmit diseases to animals and people. Some of the diseases you can get from a tick bite are Lyme disease; ehrlichiosis; Rocky Mountain spotted fever and tularemia.
Colorectal Cancer,https://medlineplus.gov/colorectalcancer.html,The colon and rectum are part of the large intestine. Colorectal cancer occurs when tumors form in the lining of the large intestine. It is common in both men and women. The risk of developing colorectal cancer rises after age 50. You're also more likely to get it if you have colorectal polyps; a family history of colorectal cancer; ulcerative colitis or Crohn's disease; eat a diet high in fat; or smoke.
Ostomy,https://medlineplus.gov/ostomy.html,An ostomy is surgery to create an opening (stoma) from an area inside the body to the outside. It treats certain diseases of the digestive or urinary systems. It can be permanent; when an organ must be removed.  It can be temporary; when the organ needs time to heal.  The organ could be the small intestine; colon; rectum; or bladder. With an ostomy; there must be a new way for wastes to leave the body.
Coma,https://medlineplus.gov/coma.html,A coma is a deep state of unconsciousness.   An individual in a coma is alive but unable to move or respond to his or her environment. Coma may occur as a complication of an underlying illness; or as a result of injuries; such as brain injury.
Common Cold,https://medlineplus.gov/commoncold.html,Sneezing; sore throat; a stuffy nose; coughing - everyone knows the symptoms of the common cold. It is probably the most common illness. In the course of a year; people in the United States suffer 1 billion colds.
Common Infant and Newborn Problems,https://medlineplus.gov/commoninfantandnewbornproblems.html,It is hard when your baby is sick.  Common health problems in babies include colds; coughs; fevers; and vomiting.  Babies also commonly have skin problems; like diaper rash or cradle cap.
Infectious Diseases,https://medlineplus.gov/infectiousdiseases.html,Infectious diseases kill more people worldwide than any other single cause. Infectious diseases are caused by germs. Germs are tiny living things that are found everywhere - in air; soil and water. You can get infected by touching; eating; drinking or breathing something that contains a germ.  Germs can also spread through animal and insect bites; kissing and sexual contact. Vaccines; proper hand washing and medicines can help prevent infections.
Talking With Your Doctor,https://medlineplus.gov/talkingwithyourdoctor.html,How well you and your doctor communicate with each other is one of the most important parts of getting good health care. Being prepared can help make the most of your visit. Here are some things you can bring:
Speech and Communication Disorders,https://medlineplus.gov/speechandcommunicationdisorders.html,Many disorders can affect our ability to speak and communicate. They range from saying sounds incorrectly to being completely unable to speak or understand speech.  Causes include
Complementary and Integrative Medicine,https://medlineplus.gov/complementaryandintegrativemedicine.html,Many Americans use medical treatments that are not part of mainstream medicine. When you are using these types of care; it may be called complementary; integrative; or alternative medicine.
Complex Regional Pain Syndrome,https://medlineplus.gov/complexregionalpainsyndrome.html,Complex regional pain syndrome (CRPS) is a chronic pain condition. It causes intense pain; usually in the arms; hands; legs; or feet. It may happen after an injury; either to a nerve or to tissue in the affected area. Rest and time may only make it worse.
Spine Injuries and Disorders,https://medlineplus.gov/spineinjuriesanddisorders.html,Your backbone; or spine; is made up of 26 bone discs called vertebrae. The vertebrae protect your spinal cord and allow you to stand and bend.  A number of problems can change the structure of the spine or damage the vertebrae and surrounding tissue. They include
Compulsive Gambling,https://medlineplus.gov/compulsivegambling.html,Many people enjoy gambling; whether it's betting on a horse or playing poker on the Internet. Most people who gamble don't have a problem; but some lose control of their gambling. Signs of problem gambling include
Concussion,https://medlineplus.gov/concussion.html,A concussion is a type of brain injury.  It involves a short loss of normal brain function. It happens when a hit to the head or body causes your head and brain to move rapidly back and forth. This sudden movement can cause the brain to bounce around or twist in the skull; creating chemical changes in your brain. Sometimes it can also stretch and damage your brain cells.
Child Behavior Disorders,https://medlineplus.gov/childbehaviordisorders.html, All kids misbehave some times. And some may have temporary behavior problems due to stress. For example; the birth of a sibling; a divorce; or a death in the family may cause a child to act out. Behavior disorders are more serious. They involve a pattern of hostile; aggressive; or disruptive behaviors for more than 6 months.  The behavior is also not appropriate for the child's age.
Genital Warts,https://medlineplus.gov/genitalwarts.html,Genital warts are a sexually transmitted disease (STD) caused by the human papillomavirus (HPV). The warts are soft; moist; pink; or flesh-colored bumps. You can have one or many of these bumps.  In women; the warts usually occur in or around the vagina; on the cervix or around the anus. In men; genital warts are less common but might occur on the tip of the penis.
Personal Health Records,https://medlineplus.gov/personalhealthrecords.html,You've probably seen your chart at your doctor's office. In fact; you may have charts at several doctors' offices.  If you've been in the hospital; you have a chart there; too. These charts are your medical records. They may be on paper or electronic. To keep track of all this information; it's a good idea to keep your own personal health record.
Adrenal Gland Disorders,https://medlineplus.gov/adrenalglanddisorders.html,The adrenal glands are small glands located on top of each kidney.  They produce hormones that you can't live without; including sex hormones and cortisol. Cortisol helps you respond to stress and has many other important functions.
Hernia,https://medlineplus.gov/hernia.html,A hernia happens when part of an internal organ or tissue bulges through a weak area of muscle. Most hernias are in the abdomen.
Congenital Heart Defects,https://medlineplus.gov/congenitalheartdefects.html,A congenital heart defect is a problem with the structure of the heart. It is present at birth. Congenital heart defects are the most common type of birth defect. The defects can involve the walls of the heart; the valves of the heart; and the arteries and veins near the heart. They can disrupt the normal flow of blood through the heart. The blood flow can slow down; go in the wrong direction or to the wrong place; or be blocked completely.
Heart Failure,https://medlineplus.gov/heartfailure.html,Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Heart failure does not mean that your heart has stopped or is about to stop working. It means that your heart is not able to pump blood the way it should. It can affect one or both sides of the heart.
Pinkeye,https://medlineplus.gov/pinkeye.html,Conjunctivitis is the medical name for pink eye. It involves inflammation of the outer layer of the eye and inside of the eyelid. It can cause swelling; itching; burning; discharge; and redness. Causes include
Connective Tissue Disorders,https://medlineplus.gov/connectivetissuedisorders.html,Your connective tissue supports many different parts of your body; such as your skin; eyes; and heart. It is like a "cellular glue" that gives your body parts their shape and helps keep them strong. It also helps some of your tissues do their work. It is made of many kinds of proteins. Cartilage and fat are types of connective tissue.
Constipation,https://medlineplus.gov/constipation.html,Constipation means that a person has three or fewer bowel movements in a week. The stool can be hard and dry. Sometimes it is painful to pass. At one time or another; almost everyone gets constipated. In most cases; it lasts a short time and is not serious.
Rashes,https://medlineplus.gov/rashes.html,A rash is an area of irritated or swollen skin. Many rashes are itchy; red; painful; and irritated. Some rashes can also lead to blisters or patches of raw skin.  Rashes are a symptom of many different medical problems. Other causes include irritating substances and allergies. Certain genes can make people more likely to get rashes.
Eye Wear,https://medlineplus.gov/eyewear.html,Eye wear protects or corrects your vision. Examples are
Birth Control,https://medlineplus.gov/birthcontrol.html,Birth control; also known as contraception; is designed to prevent pregnancy. Birth control methods may work in a number of different ways:
Bruises,https://medlineplus.gov/bruises.html,A bruise is a mark on your skin caused by blood trapped under the surface. It happens when an injury crushes small blood vessels but does not break the skin. Those vessels break open and leak blood under the skin.
Thalassemia,https://medlineplus.gov/thalassemia.html,Thalassemias are inherited blood disorders. If you have one; your body makes fewer healthy red blood cells and less hemoglobin. Hemoglobin is a protein that carries oxygen to the body. That leads to anemia. Thalassemias occur most often among people of Italian; Greek; Middle Eastern; Southern Asian; and African descent.
COPD,https://medlineplus.gov/copd.html,COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. The two main types are chronic bronchitis and emphysema. The main cause of COPD is long-term exposure to substances that irritate and damage the lungs. This is usually cigarette smoke. Air pollution; chemical fumes; or dust can also cause it.
Coping with Chronic Illness,https://medlineplus.gov/copingwithchronicillness.html,Having a long-term; or chronic; illness can disrupt your life in many ways. You may often be tired and in pain. Your illness might affect your appearance or your physical abilities and independence. You may not be able to work; causing financial problems. For children; chronic illnesses can be frightening; because they may not understand why this is happening to them.
Coping with Disasters,https://medlineplus.gov/copingwithdisasters.html,No matter how well you have prepared; you might feel dazed or numb after going through a disaster. You may also feel sad; helpless; or anxious. In spite of the tragedy; you might just feel happy to be alive.
Minerals,https://medlineplus.gov/minerals.html,Minerals are important for your body to stay healthy. Your body uses minerals for many different jobs; including keeping your bones; muscles; heart; and brain working properly. Minerals are also important for making enzymes and hormones.
Wilson Disease,https://medlineplus.gov/wilsondisease.html,Wilson disease is a rare inherited disorder that prevents your body from getting rid of extra copper.  You need a small amount of copper from food to stay healthy. Too much copper is poisonous.
Pulmonary Hypertension,https://medlineplus.gov/pulmonaryhypertension.html,Pulmonary hypertension (PH) is high blood pressure in the arteries to your lungs. It is a serious condition. If you have it; the blood vessels that carry blood from your heart to your lungs become hard and narrow. Your heart has to work harder to pump the blood through. Over time; your heart weakens and cannot do its job and you can develop heart failure.
Stem Cells,https://medlineplus.gov/stemcells.html,Stem cells are cells with the potential to develop into many different types of cells in the body. They serve as a repair system for the body. There are two main types of stem cells: embryonic stem cells and adult stem cells.
Carbohydrates,https://medlineplus.gov/carbohydrates.html,Carbohydrates are one of the main types of nutrients.  They are the most important source of energy for your body. Your digestive system changes carbohydrates into glucose (blood sugar). Your body  uses this sugar for energy for your cells; tissues and organs. It stores any extra sugar in your liver and muscles for when it is needed.
Corneal Disorders,https://medlineplus.gov/cornealdisorders.html,Your cornea is the outermost layer of your eye. It is clear and shaped like a dome. The cornea helps to shield the rest of the eye from germs; dust; and other harmful matter. It also helps your eye to focus. If you wear contact lenses; they float on top of your corneas.
Corns and Calluses,https://medlineplus.gov/cornsandcalluses.html,Corns and calluses are caused by pressure or friction on your skin. They often appear on feet where the bony parts of your feet rub against your shoes. Corns usually appear on the tops or sides of toes while calluses form on the soles of feet. Calluses also can appear on hands or other areas that are rubbed or pressed.
Coronary Artery Disease,https://medlineplus.gov/coronaryarterydisease.html,Coronary artery disease (CAD) is the most common type of heart disease. It is the leading cause of death in the United States in both men and women.
Coronary Artery Bypass Surgery,https://medlineplus.gov/coronaryarterybypasssurgery.html,In coronary artery disease (CAD); the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes; medicines; and angioplasty; a procedure to open the arteries.  If these treatments don't help; you may need coronary artery bypass surgery.
Coronary Artery Bypass Surgery,https://medlineplus.gov/coronaryarterybypasssurgery.html,In coronary artery disease (CAD); the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes; medicines; and angioplasty; a procedure to open the arteries.  If these treatments don't help; you may need coronary artery bypass surgery.
Coronary Artery Disease,https://medlineplus.gov/coronaryarterydisease.html,Coronary artery disease (CAD) is the most common type of heart disease. It is the leading cause of death in the United States in both men and women.
Coronavirus Infections,https://medlineplus.gov/coronavirusinfections.html,Coronaviruses are common viruses that most people get some time in their life. They are common throughout the world; and they can infect people and animals. Several different coronaviruses can infect people and make them sick. They usually cause mild to moderate upper-respiratory illness. But; some coronaviruses can cause severe illness.
Steroids,https://medlineplus.gov/steroids.html,You may have heard of anabolic steroids; which can have harmful effects. But there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems. These steroids are similar to hormones that your adrenal glands make to fight stress associated with illnesses and injuries. They reduce inflammation and affect the immune system.
Cosmetic Dentistry,https://medlineplus.gov/cosmeticdentistry.html,If you have stained; broken or uneven teeth; cosmetic dentistry can help. Cosmetic dentistry is different from orthodontic treatment; which can straighten your teeth with braces or other devices.
Plastic and Cosmetic Surgery,https://medlineplus.gov/plasticandcosmeticsurgery.html,Surgeons can reshape the appearance of body parts through cosmetic surgery.  Some of the most common body parts people want to improve through surgery include
Cosmetics,https://medlineplus.gov/cosmetics.html,Cosmetics are products you apply to your body to clean it; make it more attractive; or change the way it looks.  They include
Cartilage Disorders,https://medlineplus.gov/cartilagedisorders.html,Cartilage is the tough but flexible tissue that covers the ends of your bones at a joint. It also gives shape and support to other parts of your body; such as your ears; nose and windpipe. Healthy cartilage helps you move by allowing your bones to glide over each other. It also protects bones by preventing them from rubbing against each other.
Cough,https://medlineplus.gov/cough.html,Coughing is a reflex that keeps your throat and airways clear.  Although it can be annoying; coughing helps your body heal or protect itself. Coughs can be either acute or chronic.  Acute coughs begin suddenly and usually last no more than 2 to 3 weeks.  Acute coughs are the kind you most often get with a cold; flu; or acute bronchitis.  Chronic coughs last longer than 2 to 3 weeks.  Causes of chronic cough include
Cold and Cough Medicines,https://medlineplus.gov/coldandcoughmedicines.html,Sneezing; sore throat; a stuffy nose; coughing -- everyone knows the symptoms of the common cold. It is probably the most common illness. Every year; adults get about 2-3 colds; and children get even more.
Viral Infections,https://medlineplus.gov/viralinfections.html,Viruses are very tiny germs. They are made of genetic material inside of a protein coating. Viruses cause familiar infectious diseases such as the common cold; flu and warts. They also cause severe illnesses such as HIV/AIDS; smallpox; and Ebola.
CPR,https://medlineplus.gov/cpr.html,When someone's blood flow or breathing stops; seconds count. Permanent brain damage or death can happen quickly. If you know how to perform cardiopulmonary resuscitation (CPR); you could save a life. CPR is an emergency procedure for a person whose heart has stopped or is no longer breathing.  CPR can maintain circulation and breathing until emergency medical help  arrives.
Lice,https://medlineplus.gov/lice.html,Lice are parasitic insects that can be found on people's heads and bodies. They survive by feeding on human blood. Lice found on each area of the body are different from each other. The three types of lice that live on humans are head lice; body  lice (also called clothes lice); and pubic lice ("crabs").
Sexually Transmitted Diseases,https://medlineplus.gov/sexuallytransmitteddiseases.html,Sexually transmitted diseases (STDs) are infections that are passed from one person to another through sexual contact. The causes of STDs are bacteria; parasites; yeast; and viruses. There are more than 20 types of STDs; including
Cocaine,https://medlineplus.gov/cocaine.html,Cocaine is a white powder. It can be snorted up the nose or mixed with water and injected with a needle. Cocaine can also be made into small white rocks; called crack. Crack is smoked in a small glass pipe.
Muscle Cramps,https://medlineplus.gov/musclecramps.html,Muscle cramps are sudden; involuntary contractions or spasms in one or more of your muscles. They often occur after exercise or at night; lasting a few seconds to several minutes. It is a very common muscle problem.
Head Injuries,https://medlineplus.gov/headinjuries.html,Chances are you've bumped your head before.  Often; the injury is minor because your skull is hard and it protects your brain.  But other head injuries can be more severe; such as a skull fracture; concussion; or traumatic brain injury.
Craniofacial Abnormalities,https://medlineplus.gov/craniofacialabnormalities.html,Craniofacial is a medical term that relates to the bones of the skull and face. Craniofacial abnormalities are birth defects of the face or head. Some; like cleft lip and palate; are among the most common of all birth defects. Others are very rare. Most of them affect how a person's face or head looks. These conditions may also affect other parts of the body.
Facial Injuries and Disorders,https://medlineplus.gov/facialinjuriesanddisorders.html,Face injuries and disorders can cause pain and affect how you look. In severe cases; they can affect sight; speech; breathing and your ability to swallow. Broken bones; especially the bones of your nose; cheekbone and jaw; are common facial injuries.
Craniofacial Abnormalities,https://medlineplus.gov/craniofacialabnormalities.html,Craniofacial is a medical term that relates to the bones of the skull and face. Craniofacial abnormalities are birth defects of the face or head. Some; like cleft lip and palate; are among the most common of all birth defects. Others are very rare. Most of them affect how a person's face or head looks. These conditions may also affect other parts of the body.
Creatinine,https://medlineplus.gov/creatinine.html,Creatinine is a waste product in your blood. It comes from protein in your diet and the normal breakdown of muscles of your body. Creatinine is removed from blood by the kidneys and then passes out of the body in your urine. If you have kidney disease; the level of creatinine in your blood increases.
Creutzfeldt-Jakob Disease,https://medlineplus.gov/creutzfeldtjakobdisease.html,Creutzfeldt-Jakob disease (CJD) is a rare; degenerative brain disorder. Symptoms usually start around age 60. Memory problems; behavior changes; vision problems; and poor muscle coordination progress quickly to dementia; coma; and death. Most patients die within a year.
Sudden Infant Death Syndrome,https://medlineplus.gov/suddeninfantdeathsyndrome.html,Sudden infant death syndrome (SIDS) is the sudden; unexplained death of an infant younger than one year old. Some people call SIDS "crib death" because many babies who die of SIDS are found in their cribs.
Critical Care,https://medlineplus.gov/criticalcare.html,Critical care helps people with life-threatening injuries and illnesses. It might treat problems such as complications from surgery; accidents; infections; and severe breathing problems.  It involves close; constant attention by a team of specially-trained health care  providers.  Critical care usually takes place in an intensive care unit (ICU) or trauma center.
Crohn's Disease,https://medlineplus.gov/crohnsdisease.html,Crohn's disease causes inflammation of the digestive system.  It is one of a group of diseases called inflammatory bowel disease. Crohn's can affect any area from the mouth to the anus. It often affects the lower part of the small intestine called the ileum.
Eye Movement Disorders,https://medlineplus.gov/eyemovementdisorders.html,When you look at an object; you're using several muscles to move both eyes to focus on it. If you have a problem with the muscles; the eyes don't work properly.
Croup,https://medlineplus.gov/croup.html,Croup is an inflammation of the vocal cords (larynx) and windpipe (trachea). It causes difficulty breathing; a barking cough; and a hoarse voice. The cause is usually a virus; often parainfluenza virus. Other causes include allergies and reflux.
Mobility Aids,https://medlineplus.gov/mobilityaids.html,Mobility aids help you walk or move from place to place if you are disabled or have an injury. They include
Fungal Infections,https://medlineplus.gov/fungalinfections.html,If you have ever had athlete's foot or a yeast infection; you can blame a fungus. A fungus is a primitive organism. Mushrooms; mold and mildew are examples. Fungi live in air; in soil; on plants and in water. Some live in the human body. Only about half of all types of fungi are harmful.
Cryptosporidiosis,https://medlineplus.gov/cryptosporidiosis.html,Cryptosporidiosis (crypto) is an illness caused by a parasite. The parasite lives in soil; food; and water. It may also be on surfaces that have been contaminated with feces (poop). You can become infected by swallowing the parasite; if it is in your food; drinking water; or water that you swim in. You can also get it by touching your mouth with contaminated hands.
CT Scans,https://medlineplus.gov/ctscans.html,Computed tomography (CT) is a type of imaging. It uses special x-ray equipment to make cross-sectional pictures of your body.
Elbow Injuries and Disorders,https://medlineplus.gov/elbowinjuriesanddisorders.html,Your elbow joint is made up of bone; cartilage; ligaments and fluid. Muscles and tendons help the elbow joint move. When any of these structures is hurt or diseased; you have elbow problems.
Cushing's Syndrome,https://medlineplus.gov/cushingssyndrome.html,Cushing's syndrome is a hormonal disorder. The cause is long-term exposure to too much cortisol; a hormone that your adrenal gland makes. Sometimes; taking synthetic hormone medicine to treat an inflammatory disease leads to Cushing's. Some kinds of tumors produce a hormone that can cause your body to make too much cortisol.
Skin Conditions,https://medlineplus.gov/skinconditions.html,Your skin is your body's largest organ. It covers and protects your body. Your skin
Self-harm,https://medlineplus.gov/selfharm.html,Self-harm refers to a person's harming their own body on purpose.  About 1 in 100 people hurts himself or herself in this way. More females hurt themselves than males. A person who self-harms usually does not mean to kill himself or herself. But they are at higher risk of attempting suicide if they do not get help.
Stroke,https://medlineplus.gov/stroke.html,A stroke is a medical emergency. Strokes happen when blood flow to your brain stops. Within minutes; brain cells begin to die.   There are two kinds of stroke. The more common kind; called ischemic stroke; is caused by a blood clot that blocks or plugs a blood vessel in the brain. The other kind; called hemorrhagic stroke; is caused by a blood vessel that breaks and bleeds into the brain.   "Mini-strokes" or transient ischemic attacks (TIAs); occur when the blood supply to the brain is briefly interrupted.
Internet Safety,https://medlineplus.gov/internetsafety.html,For most kids and teens; technology is an important part of their lives.  They browse the Web for information; use social networking sites; text; and chat.  But there can also be dangers; and it is important for parents to monitor their children's use and teach them how to be safe online:
Mood Disorders,https://medlineplus.gov/mooddisorders.html,Most people feel sad or irritable from time to time. They may say they're in a bad mood. A mood disorder is different. It affects a person's everyday emotional state. Nearly one in ten people aged 18 and older have mood disorders. These include depression and bipolar disorder (also called manic depression).
Cystic Fibrosis,https://medlineplus.gov/cysticfibrosis.html,Cystic fibrosis (CF) is an inherited disease of the mucus and sweat glands. It affects mostly your lungs; pancreas; liver; intestines; sinuses; and sex organs.  CF causes your mucus to be thick and sticky. The mucus clogs the lungs; causing breathing problems and making it easy for bacteria to grow. This can lead to repeated lung infections and lung damage.
Kidney Cysts,https://medlineplus.gov/kidneycysts.html, A cyst is a fluid-filled sac. You may get simple kidney cysts as you age; they are usually harmless. There are also some diseases which cause kidney cysts. One type is polycystic kidney disease (PKD). It runs in families. In PKD; many cysts grow in the kidneys. This can enlarge the kidneys and make them work poorly. About half of people with the most common type of PKD end up with kidney failure. PKD also causes cysts in other parts of the body; such as the liver.
Interstitial Cystitis,https://medlineplus.gov/interstitialcystitis.html,Interstitial cystitis (IC) is a condition that causes discomfort or pain in the bladder and a need to urinate frequently and urgently. It is far more common in women than in men. The symptoms vary from person to person. Some people may have pain without urgency or frequency. Others have urgency and frequency without pain. Women's symptoms often get worse during their periods. They may also have pain with sexual intercourse.
Pelvic Support Problems,https://medlineplus.gov/pelvicsupportproblems.html,The pelvic floor is a group of muscles and other tissues that form a sling or hammock across the pelvis. In women; it holds the uterus; bladder; bowel; and other pelvic organs in place so that they can work properly.  The pelvic floor can become weak or be injured. The main causes are pregnancy and childbirth. Other causes include being overweight; radiation treatment; surgery; and getting older.
Cytomegalovirus Infections,https://medlineplus.gov/cytomegalovirusinfections.html,Cytomegalovirus (CMV) is a virus found around the world. It is related to the viruses that cause chickenpox and infectious mononucleosis (mono). Between 50 percent and 80 percent of adults in the United States have had a CMV infection by age 40. Once CMV is in a person's body; it stays there for life.
Dandruff, Cradle Cap, and Other Scalp Conditions,https://medlineplus.gov/dandruffcradlecapandotherscalpconditions.html,Your scalp is the skin on the top of your head. Unless you have hair loss; hair grows on your scalp. Different skin problems can affect your scalp.
Cerebellar Disorders,https://medlineplus.gov/cerebellardisorders.html,When you play the piano or hit a tennis ball you are activating the cerebellum. The cerebellum is the area of the brain that controls coordination and balance. Problems with the cerebellum include
DASH Diet,https://medlineplus.gov/dashdiet.html,DASH stands for Dietary Approaches to Stop Hypertension. It is an eating plan that is based on research studies sponsored by the National Heart; Lung; and Blood Institute (NHLBI). These studies showed that DASH lowers high blood pressure and improves levels of cholesterol. This reduces your risk of getting heart disease.
Home Care Services,https://medlineplus.gov/homecareservices.html,Home care is care that allows a person with special needs stay in their home. It might be for people who are getting older; are chronically ill; recovering from surgery; or disabled. Home care services include
Hearing Disorders and Deafness,https://medlineplus.gov/hearingdisordersanddeafness.html,It's frustrating to be unable to hear well enough to enjoy talking with friends or family. Hearing disorders make it hard; but not impossible; to hear. They can often be helped. Deafness can keep you from hearing sound at all.
Hearing Problems in Children,https://medlineplus.gov/hearingproblemsinchildren.html,Most children hear and listen from the moment they are born. They learn to talk by imitating the sounds around them and the voices of their parents and caregivers. But about 2 or 3 out of every 1;000 children in the United States are born deaf or hard-of-hearing. More lose their hearing later during childhood.
End of Life Issues,https://medlineplus.gov/endoflifeissues.html,Planning for the end of life can be difficult.  But by deciding what end-of-life care best suits your needs when you are healthy; you can help those close to you make the right choices when the time comes.
Pressure Sores,https://medlineplus.gov/pressuresores.html,Pressure sores are areas of damaged skin caused by staying in one position for too long. They commonly form where your bones are close to your skin; such as your ankles; back; elbows; heels and hips. You are at risk if you are bedridden; use a wheelchair; or are unable to change your position. Pressure sores can cause serious infections; some of which are life-threatening. They can be a problem for people in nursing homes.
Deep Vein Thrombosis,https://medlineplus.gov/deepveinthrombosis.html,Deep vein thrombosis; or DVT; is a blood clot that forms in a vein deep in the body. Most deep vein clots occur in the lower leg or thigh. If the vein swells; the condition is called thrombophlebitis. A deep vein thrombosis can break loose and cause a serious problem in the lung;  called a pulmonary embolism.
Pacemakers and Implantable Defibrillators,https://medlineplus.gov/pacemakersandimplantabledefibrillators.html,An arrhythmia is any disorder of your heart rate or rhythm. It means that your heart beats too quickly; too slowly; or with an irregular pattern. Most arrhythmias result from problems in the electrical system of the heart. If your arrhythmia is serious; you may need a cardiac pacemaker or an implantable cardioverter defibrillator (ICD).  They are devices that are implanted in your chest or abdomen.
